name,dollar_price
Switzerland,7.17
Denmark,6.55
Finland,5.67
Hong Kong/Macau,5.52
Luxembourg,5.51
France,5.36
United Kingdom,5.31
Norway,5.08
Chile,4.95
Singapore,4.90
Taiwan,4.86
Sweden,4.83
Monaco,4.80
Panama,4.70
Argentina,4.67
Germany,4.49
Netherlands,4.44
Uruguay,4.42
Ireland,4.39
Kuwait,4.30
United Arab Emirates,4.29
Saudi Arabia,4.27
El Salvador,4.25
Bahrain,4.24
China,4.23
Costa Rica,4.22
Qatar,4.12
South Korea,4.11
Oman,4.09
Puerto Rico,4.05
Australia,3.97
Spain,3.95
Czech Republic,3.93
Greece,3.92
Canada,3.85
Jamaica,3.84
Slovakia,3.80
Bahamas,3.75
Thailand,3.64
Portugal,3.59
Japan,3.57
India,3.56
Poland,3.56
Jordan,3.53
Belgium,3.52
Austria,3.48
Vietnam,3.42
Azerbaijan,3.41
Trinidad and Tobago,3.39
Hungary,3.34
New Zealand,3.34
Romania,3.29
Andorra,3.28
Philippines,3.26
United States of America,3.26
Cambodia,3.25
Guatemala,3.23
Bolivia,3.19
Indonesia,3.08
Malaysia,3.04
Cyprus,2.97
Russia,2.91
Italy,2.84
Morocco,2.81
Bulgaria,2.69
South Africa,2.64
Colombia,2.50
Peru,2.49
Egypt,2.23
Aruba,2.22
Brazil,1.96
TÃ¼rkiye,1.31