Currency,1 USD
Argentine Peso,823.500994
Australian Dollar,1.520917
Bahraini Dinar,0.376
Botswana Pula,13.610363
Brazilian Real,4.916961
British Pound,0.787175
Bruneian Dollar,1.341618
Bulgarian Lev,1.801452
Canadian Dollar,1.345358
Chilean Peso,920.069547
Chinese Yuan Renminbi,7.156559
Colombian Peso,3902.928094
Czech Koruna,22.803122
Danish Krone,6.868407
Emirati Dirham,3.6725
Euro,0.921068
Hong Kong Dollar,7.815131
Hungarian Forint,356.557799
Icelandic Krona,136.596137
Indian Rupee,83.129944
Indonesian Rupiah,15813.48908
Iranian Rial,42002.59612
Israeli Shekel,3.689717
Japanese Yen,148.181633
Kazakhstani Tenge,449.888784
Kuwaiti Dinar,0.308602
Libyan Dinar,4.814703
Malaysian Ringgit,4.726199
Mauritian Rupee,45.649798
Mexican Peso,17.15914
Nepalese Rupee,133.070257
New Zealand Dollar,1.641824
Norwegian Krone,10.422616
Omani Rial,0.385047
Pakistani Rupee,279.651031
Philippine Peso,56.331515
Polish Zloty,4.022164
Qatari Riyal,3.64
Romanian New Leu,4.586798
Russian Ruble,89.750248
Saudi Arabian Riyal,3.75
Singapore Dollar,1.341618
South African Rand,18.788753
South Korean Won,1337.059204
Sri Lankan Rupee,317.769913
Swedish Krona,10.458366
Swiss Franc,0.864113
Taiwan New Dollar,31.320234
Thai Baht,35.619819
Trinidadian Dollar,6.768699
Turkish Lira,30.323555
Venezuelan Bolivar,3603359.089